target_id	length	eff_length	est_counts	tpm
Caust.v2_006002-RA	1998	1737.67	3176	69.8876
Caust.v2_006031-RA	444	185.325	413	85.2126
Caust.v2_005989-RA	1968	1707.67	115	2.57502
Caust.v2_006012-RA	558	298.348	503	64.4662
Caust.v2_006020-RA	1122	861.671	2033	90.2159
Caust.v2_006004-RJ	1623	1362.67	194.667	5.46245
Caust.v2_006004-RE	1908	1647.67	334.578	7.76451
Caust.v2_006037-RC	4326	4065.67	145.999	1.37311
Caust.v2_005994-RA	312	67.9383	5	2.81412
Caust.v2_006017-RA	3429	3168.67	3214	38.7843
Caust.v2_006040-RA	2145	1884.67	3458	70.1579
Caust.v2_006025-RA	2022	1761.67	438.5	9.5177
Caust.v2_006004-RG	1002	741.671	625.724	32.2596
Caust.v2_006037-RB	654	394.057	0	0
Caust.v2_006029-RA	417	158.977	3	0.721563
Caust.v2_006037-RD	3723	3462.67	0.000542705	5.99294e-06
Caust.v2_006020-RB	1047	786.671	0	0
Caust.v2_006025-RB	2022	1761.67	438.5	9.5177
Caust.v2_005991-RA	1623	1362.67	118	3.31115
Caust.v2_006004-RF	1908	1647.67	334.578	7.76451
Caust.v2_005992-RA	1920	1659.67	42.995	0.990566
Caust.v2_006009-RA	1068	807.671	12127	574.125
Caust.v2_006020-RC	1047	786.671	0	0
Caust.v2_005988-RA	255	37.8062	23	23.2622
Caust.v2_006004-RC	1299	1038.67	170.807	6.28803
Caust.v2_006015-RA	921	660.768	72	4.16649
Caust.v2_006008-RA	888	627.794	184	11.2069
Caust.v2_006020-RD	1572	1311.67	63	1.83655
Caust.v2_005992-RB	1896	1635.67	0.00495437	0.000115819
Caust.v2_006004-RH	1623	1362.67	194.667	5.46245
Caust.v2_006006-RA	306	63.8593	4	2.3951
Caust.v2_006018-RA	297	58.0721	1142	751.944
Caust.v2_006026-RA	3327	3066.67	818	10.1994
Caust.v2_006004-RD	1986	1725.67	15.6991	0.347861
Caust.v2_006019-RA	1350	1089.67	2038	71.5148
Caust.v2_005987-RA	237	32.7417	7	8.17492
Caust.v2_006004-RA	1299	1038.67	170.807	6.28803
Caust.v2_006024-RA	7428	7167.67	602.621	3.2148
Caust.v2_006030-RA	870	609.794	576	36.1182
Caust.v2_006004-RB	1299	1038.67	170.807	6.28803
Caust.v2_006021-RA	492	232.719	93.3373	15.3359
Caust.v2_006013-RA	1092	831.671	1195	54.9419
Caust.v2_006039-RA	1458	1197.67	256	8.17315
Caust.v2_005993-RA	1554	1293.67	1996	58.9962
Caust.v2_005985-RA	2523	2262.67	511	8.63548
Caust.v2_006022-RA	2700	2439.67	41	0.642599
Caust.v2_006003-RA	603	343.184	7801	869.182
Caust.v2_006005-RA	1311	1050.67	47	1.71048
Caust.v2_006016-RA	189	27.3742	3	4.19051
Caust.v2_006038-RA	339	88.1329	3	1.30158
Caust.v2_006014-RA	1125	864.671	287	12.6917
Caust.v2_006004-RI	1623	1362.67	194.667	5.46245
Caust.v2_005989-RB	1968	1707.67	115	2.57502
Caust.v2_006037-RA	654	394.057	0	0
Caust.v2_006001-RA	924	663.755	343	19.7594
Caust.v2_005983-RA	825	564.818	207	14.0136
Caust.v2_014336-RA	798	537.841	3212	228.354
Caust.v2_014337-RB	186	27.267	1	1.40233
Caust.v2_014335-RA	672	412.024	235	21.8088
Caust.v2_014334-RA	5445	5184.67	12620	93.0733
Caust.v2_014337-RA	2319	2058.67	15	0.278607
Caust.v2_011763-RA	102	34.8061	9	9.88723
Caust.v2_011759-RA	1521	1260.67	155	4.70129
Caust.v2_011769-RA	3426	3165.67	48.6922	0.58814
Caust.v2_011762-RA	534	274.423	18	2.50806
