Def	NM_001280909.1
LOC100643037	XM_020862633.1
LOC100643038	XM_003395366.3
LOC100643039	XM_003395448.3
LOC100643040	XM_012309275.2
LOC100643041	XM_020863410.1
LOC100643042	XM_012310091.2
LOC100643044	XM_012310415.2
LOC100643045	XM_003396909.3
LOC100643046	XM_012311890.2
LOC100643048	XM_020864634.1
LOC100643049	XM_003397958.2
LOC100643050	XM_020864889.1
LOC100643051	XM_003398197.3
LOC100643052	XM_012313174.2
LOC100643053	XM_003398690.3
LOC100643054	XM_020865641.1
LOC100643055	XM_012314617.2
LOC100643056	XM_020865704.1
LOC100643057	XM_020866511.1
LOC100643058	XM_012316489.2
LOC100643059	XM_012316258.2
LOC100643060	XM_020866836.1
LOC100643061	XM_003401351.3
LOC100643062	XM_020867297.1
LOC100643063	XM_003402070.2
LOC100643064	XM_003402535.3
LOC100643065	XM_003403150.3
LOC100643066	XM_020868210.1
LOC100643068	XM_003392978.3
LOC100643069	XM_020868305.1
LOC100643070	XM_020868339.1
LOC100643071	XM_020867937.1
LOC100643072	XM_012320996.2
LOC100643073	XM_020868657.1
LOC100643074	XM_020868603.1
LOC100643075	XM_012308768.1
LOC100643076	XM_003395700.3
LOC100643077	XM_012309212.2
LOC100643078	XM_003396101.3
LOC100643079	XM_012309641.2
LOC100643080	XM_020863832.1
LOC100643081	XM_003396748.2
LOC100643082	XM_012310637.2
LOC100643083	XM_003397156.3
LOC100643084	XM_003397239.3
LOC100643085	XM_003397318.3
LOC100643086	XM_003398121.3
LOC100643087	XM_003398451.3
LOC100643088	XM_003399173.3
LOC100643089	XM_003399332.3
LOC100643091	XM_012314765.2
LOC100643092	XM_020866215.1
LOC100643093	XM_012315727.2
LOC100643094	XM_020866640.1
LOC100643095	XM_012316142.2
LOC100643096	XM_003400617.3
LOC100643097	XM_003401186.3
LOC100643098	XM_003401268.3
LOC100643099	XM_003401433.3
LOC100643100	XM_003401591.3
LOC100643101	XM_012317913.2
