CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_000407	2316.999	5168.01	2544.999	5019	3129	2334	2343	1878	2816.001	2187.999	2682	2678.001
Caust.v2_000408	7	1	4	5	9	4	0	1	10	4	2	0
Caust.v2_000412	1	0	0	0	1	4	2	2	1	0	0	1
Caust.v2_000414	93.6882	51.6304	96.0143	80.1038	52.8364	77.8219	65.1368	61.3831	75.8197	73.5543	71.7152	87.6071
Caust.v2_000422	0	0	0	0	0	0	0	2	2	0	0	0
Caust.v2_000428	9	7	8	4	8	6	9	5	7	5	4	9
Caust.v2_000431	7011.99	8649.99	7206	8678.01	8306.01	4412.01	2666.001	4784.01	7155.99	6098.01	7286.01	3057.99
Caust.v2_000433	5	4	6	1	4	5	3	6	5	7	3	3
Caust.v2_000436	9110	9193	8169	8151	8650	5583	2840	5247	8610	6960	7487	3841
Caust.v2_000437	864	423	536	699	372	493	566	709	530	472	530	711
Caust.v2_000440	94	45	51	63	45	40	83	83	71	67	63	83
Caust.v2_000441	1583	1807	1859	2033	1570	1532	1353	1652	1565	1271	1758	1594
Caust.v2_000442	789	651	753	811	711	705	641	901	742	576	670	827
Caust.v2_000443	362	343	398	476	289	314	370	417	308	311	341	464
Caust.v2_000444	1376	731	1034	1131	713	1106	1736	1775	915	795	842	3206
Caust.v2_000445	359	656	351	606	459	383	423	537	381	425	437	578
Caust.v2_000447	26	52	34	31	28	78	32	52	45	32	36	33
Caust.v2_000448	1798	1416	1629	1770	1446	1698	1738	2307	1662	1450	1688	2321
Caust.v2_000449	43	34	29	24	40	25	24	38	47	43	40	38
Caust.v2_000450	1165	949	984	1283	893.9995	975	1194.458	1508.998	906	856	949	1883.999
Caust.v2_000451	280	226	262	252	165	242	313.541	367	264	209	214	434
Caust.v2_000458	3	0	1	0	0	4	0	0	0	1	2	2
Caust.v2_000459	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000460	8	7	3	9	7	12	6	15	6	3	5	8
Caust.v2_000464	8	7	1	2	3	3	4	1	4	6	9	12
Caust.v2_000465	77	41	45	43	26	37	38	38	44	53	45	26
Caust.v2_000472	6479	10063	16211	11910	11860	5474	1452	2563	6346	10401	4929	1026
Caust.v2_000477	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000484	26.9951	6.47454	7.58608	12.1872	18.2974	9.69308	7.55852	11.6077	12.9117	11.709	12.9103	10.7738
Caust.v2_000487	25	30	35	17	25	34	12	19	23	33	26	13
Caust.v2_000488	12	14	11	18	9	9	14	17	14	15	18	11
Caust.v2_000489	2060	1185	1362	1716	1037	1862	1754	2463	1624	1471	1299	2873
Caust.v2_000490	349	518	571	650	355	301	167	441	465	380	567	305
Caust.v2_000491	1144	2163	1334	2940	2777	1198	840	1648	1677	1654	1873	1125
Caust.v2_000492	9	5	16	4	1	4	3	1	14	5	0	3
Caust.v2_000493	257.0001	429	374.001	411.999	318	329.001	321	450.999	390.999	291.9999	320.001	396.999
Caust.v2_000494	5541	19490	4926	16252	10238	8513	4936	5264	12265	6566	8788	4704
Caust.v2_000495	29	16	19	22	9	15	9	14	17	11	9	2
Caust.v2_000496	52	35	43	48	44	59	20	14	47	40	39	7
Caust.v2_000502	729	968	781	968	854	679	618	1145	894	782	1137	695
Caust.v2_000503	1081	658	791	1049	659	723	626	884	694	820	670	824
Caust.v2_000504	2	10	19	11	14	6	8	18	8	5	5	5
Caust.v2_000505	0	0	0	0	0	0	0	1	0	1	0	0
Caust.v2_000508	1	0	0	2	0	1	0	2	1	0	0	0
Caust.v2_000510	2011	556	1121	1220	532	1446	1986	2312	994	1056	967	3538
Caust.v2_000515	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000516	0	1	0	1	0	2	0	0	1	0	2	0
Caust.v2_000521	65	42	81	87	44	58	13	37	65	62	64	32
Caust.v2_000524	0	0	1	0	0	2	0	0	1	0	0	0
Caust.v2_000525	0	6	0	4	1	1	2	0	2	2	1	0
Caust.v2_000528	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_000531	2996	1960	2589	2907	1999	2915	3230	4129	2313	2433	1988	4721
Caust.v2_000532	579	696	620	941	593	529	611	680	573	497	714	655
Caust.v2_000533	353	131	150	118	81	88	49	77	130	150	221	65
Caust.v2_000534	196	179	213	215	168	167	145	196	180	138	212	237
Caust.v2_000535	32	396	116	198	325	87	111	106	55	139	87	66
Caust.v2_000536	1552.0036	960	1256.0004	982	1190	1225	1784	1694	1011.00000095698	873.000000193681	713.0003798	2274
Caust.v2_000537	6756	7104	7454	7993	8294	5172	4413	6108	6334	5763	6531	3602
Caust.v2_000538	1113.999	717	786	881.001	623.001	890.001	1062.999	1127.001	743.001	746.001	660	1356
Caust.v2_000539	7146	5776	5667	5687	5166	6265.000149225	2865.0000567219	4222	7248.00000065412	5403	4184	4629
Caust.v2_000540	53	51	43	53	37	38	52	34	45	58	54	50
Caust.v2_000541	1277.001	938.001	1091.001	1080	864	1140.999	998.001	1227	1103.001	920.001	902.001	1113
Caust.v2_000542	1738	1332	1828	2250	1358	1508	1603	1665	1677	1361	1448	1738
Caust.v2_000543	996	601	826	777	587	828	1144	1178	765	703	704	1777
Caust.v2_000544	1522	978	1305	1114	893	1359	1713	1942	1029	1050	1078	2256
Caust.v2_000546	36	31	35	40	35	29	42	40	32	29	41	31
Caust.v2_000547	1993.002	1288.998	1723.002	1552.002	1272	1630.998	1725	1927.002	1479	1326	1366.998	1837.998
Caust.v2_000548	13856	12033	15187	13059	10989	10533	10028	12011	10187	10665	10823	11480
Caust.v2_000549	722	542	608	862	454	650	780	940	477	513	549	1381
Caust.v2_000550	437	431	348	479	359	288	325	319	354	279	328	413
